mae,rmse,mape,origin,destination,model
1111.460191968947,1126.1803323680097,57.98103172209302,GVA,Birmingham International,sarima
203.5000151009482,219.58391811760765,19.502916548911454,GVA,Chania,sarima
169.16370535718605,185.88696181311812,101.70880310866148,GVA,Cuba,sarima
118.37796638802904,130.55593475481794,7.996414898505888,GVA,Izmir Adnan Menderes,sarima
363.1091113132308,445.9538632783488,346.455897879004,GVA,Leeds Bradford,sarima
354.88847544209915,417.08150270477876,170.7678660795394,GVA,London City,sarima
387.4119583620395,506.89107499874905,33.06116448322167,GVA,Montenegro,sarima
398.5828708656574,521.787386466874,5.9038798511615225,GVA,Montreal Dorval International,sarima
239.3650643019093,262.495295180463,158.57068281001372,GVA,Skopje Alexander The Great,sarima
399.03806239005826,490.3785655487778,39.122602836205864,GVA,Tivat,sarima
375.07431191015365,430.7942570575543,28.66962404512136,ZRH,Beijing Capital,sarima
381.4010385530678,529.4180820964634,12.50607794420899,ZRH,Birmingham International,sarima
111.27239212193804,120.73381069689721,10.391237963586082,ZRH,Bologna,sarima
246.95112564938003,349.16823552931197,166.75822025592382,ZRH,Cartagena,sarima
117.09737526738779,148.84542716191157,44.406879291144236,ZRH,Casablanca Mohamed V,sarima
14.970008152268074,17.44097265832514,19.124294821518646,ZRH,Leeds Bradford,sarima
61.09459298209907,72.84904908300763,34.991421934488706,ZRH,Pula,sarima
147.83536928586105,169.8420183961224,64.20218080824623,ZRH,Santa Cruz De La Palma,sarima
666.7131336138377,860.5565371567301,31.243217287610324,ZRH,Zanzibar,sarima
